Clinic Name,Address,City,State,2010 Cycles (<35),Implantation Rate,Avg Num Embs Trx,Pregs per Cycle,Births per Cycle,Births per Retrieval,Births per Transfer,eSET Rate,Twin Rate,Triplet+ Rate
Alabama Fertility Specialists,2700 Highway 280,Birmingham,AL,35,18.2,2.5,31.4,28.6,34.5,38.5,0.0,20.0,0.0
ART Fertility Program of Alabama,2006 Brookwood Med Ctr Dr.,Birmingham,AL,166,29.7,1.8,36.7,32.5,36.2,38.8,7.9,22.2,1.9
University of Alabama at Birmingham,618 20th Street South,Birmingham,AL,18,20.7,1.9,27.77777778,22.22222222,25.0,26.66666667,13.33333333,0.0,0.0
Center for Reproductive Medicine,3 Mobile Infirmary Cr,Mobile,AL,95,41.1,2.1,49.5,46.3,54.3,57.1,1.3,36.4,0.0
University of South Alabama,1610 Center Street,Mobile,AL,16,31.6,2.5,50.0,50.0,50.0,53.33333333,0.0,12.5,12.5
Arkansas Fertility Center,9101 Kanis Road,Little Rock,AR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Valley Fertility Center,17612 North 59th Avenue,Glendale,AZ,59,44.3,2.3,61.0,52.5,54.4,57.4,0.0,35.5,6.5
Arizona Reproductive Medicine Specialists,1701 East Thomas Road,Phoenix,AZ,92,25.5,2.1,37.0,31.5,34.9,36.7,3.8,31.0,0.0
Southwest Fertility Center,3125 N 32nd Street,Phoenix,AZ,27,26.7,2.2,33.3,29.6,29.6,40.0,5.0,37.5,0.0
"Advanced Fertility Care, PLLC",9819 North 95th Street,Scottsdale,AZ,46,47.9,1.7,65.2,52.2,52.2,54.5,27.3,33.3,0.0
Arizona Associates for Reproductive Health,8573 East Princess Drive,Scottsdale,AZ,78,42.9,2.1,59.0,48.7,51.4,54.3,2.9,36.8,0.0
Arizona Center for Fertility Studies,8997 E. Desert Cove Ave,Scottsdale,AZ,18,25.8,1.8,38.88888889,33.33333333,33.33333333,35.29411765,5.882352941,16.66666667,0.0
IVF Phoenix,9817 N 95th Street,Scottsdale,AZ,11,33.33333333,2.0,45.45454545,45.45454545,45.45454545,55.55555556,11.11111111,20.0,0.0
Arizona Center for Reproductive Endocrinology and Infertility,5190 East Farness,Tucson,AZ,103,31.8,2.4,50.5,41.7,42.6,52.4,0.0,20.9,2.3
Reproductive Health Center,4518 East Camp Lowell Drive,Tucson,AZ,55,39.0,1.5,36.4,32.7,32.7,46.2,28.2,22.22222222,0.0
Garfield Fertility Center,320 South Garfield Avenue,Alhambra,CA,9,60.0,2.2,88.88888889,77.77777778,77.77777778,77.77777778,0.0,28.57142857,14.28571429
Alta Bates IVF Program,2999 Regent Street,Berkeley,CA,9,33.33333333,2.2,55.55555556,44.44444444,50.0,50.0,0.0,25.0,0.0
Beverly Hills Reproductive Fertility Center,9301 Wilshire Blvd,Beverly Hills,CA,76,30.3,3.1,57.9,48.7,50.7,51.4,0.0,35.1,10.8
Center for Reproductive Health and Gynecology,99 North La Cienega Boulevard,Beverly Hills,CA,20,39.5,2.0,60.0,60.0,60.0,63.15789474,0.0,25.0,0.0
Southern California Reproductive Center,450 N. Roxbury Dr.,Beverly Hills,CA,99,41.0,1.9,55.6,48.5,49.0,53.3,17.8,20.8,2.1
Central California IVF - Women's Specialty & Fertility Center,722 East Medical Center Drive,Clovis,CA,53,31.2,2.2,41.5,30.2,32.7,37.2,0.0,18.75,6.25
HRC Fertility - Encino,15503 Ventura Blvd,Encino,CA,95,54.4,2.2,58.9,57.9,72.4,72.4,7.9,49.1,3.6
"The Fertility Institutes - California, New York",16030 Ventura Boulevard,Encino,CA,83,42.1,1.9,60.2,57.8,60.0,63.2,9.2,12.5,0.0
Zouves Fertility Center,1241 East Hillsdale Blvd.,Foster City,CA,82,21.4,2.4,40.2,31.7,31.7,31.7,3.7,23.1,3.8
The Kaiser Permanente Center for Reproductive Health,39141 Civic Center Drive,Fremont,CA,166,36.9,2.2,48.2,40.4,44.4,49.6,10.4,41.8,0.0
Coastal Fertility Medical Center,4900 Baranca Parkway,Irvine,CA,67,23.5,2.4,35.8,32.8,34.9,36.1,0.0,40.9,4.5
Fertility Center of Southern California,2192 Martin Street,Irvine,CA,20,46.7,2.5,80.0,55.0,55.0,61.11111111,0.0,36.36363636,0.0
Huntington Reproductive Center Medical Group,23961 Calle de la Magdalena,Laguna Hills,CA,119,48.7,1.9,59.7,55.5,64.7,64.7,12.7,28.8,3.0
Reproductive Partners - UCSD,9850 Genesee Avenue,La Jolla,CA,115,64.7,1.8,66.1,57.4,62.9,70.2,21.3,30.3,3.0
Reproductive Sciences Center,4150 Regents Park Row,La Jolla,CA,16,25.9,2.1,31.25,25.0,26.66666667,30.76923077,7.692307692,25.0,0.0
Loma Linda University - Center for Fertility and IVF,11370 Anderson St.,Loma Linda,CA,56,33.0,2.1,42.9,39.3,43.1,45.8,6.2,40.9,4.5
California Fertility Partners,11818 Wilshire Boulevard,Los Angeles,CA,57,31.5,2.1,47.4,42.1,46.2,47.1,0.0,20.8,0.0
Cedars-Sinai Medical Center,8700 Beverly Blvd,Los Angeles,CA,15,18.5,1.9,33.33333333,20.0,21.42857143,21.42857143,21.42857143,33.33333333,0.0
